Rank;Player;ID;Hands;Profit;Rebuy;Prize;Addon;Tips;ClubID;GameCode;DateStarted;DateEnded;GameName;GameType;BuyinTicket;AddonTicket;TotalTips
1;Dwayne Odell;#RR0CK;109;195;2;255;1;;5f5e72a2817f77659582edeb;71051235;2021-02-23 22:12;2021-02-24 01:21;BOB DAY 2 !! ;NL Hold'em;15;15;
2;Jack Cfun;#E2396;164;123;;153;1;;;;;;;;;;
3;Jason C;#HE41U;125;72;;102;1;;;;;;;;;;
4;MIKE D;#RE231;107;-45;1;;1;;;;;;;;;;
5;Mike Litt;#YVKC0;120;-30;;;1;;;;;;;;;;
6;Tony Swift;#YG42P;91;-30;;;1;;;;;;;;;;
7;PayYourTabs;#UL4HL;43;-30;;;1;;;;;;;;;;
8;bad call ALWAYS;#TT1B8;28;-60;2;;1;;;;;;;;;;
9;ðŸ’¸ riDONKulousðŸ’¸;#Q4HRW;75;-30;;;1;;;;;;;;;;
10;The D R E;#RHX1V;14;-30;;;1;;;;;;;;;;
11;17outs;#7Q7J4;19;-45;1;;1;;;;;;;;;;
12;NavarrOhhh;#YKAC3;6;-15;;;;;;;;;;;;;
13;ROLLTIDE4EVER;#TZQVD;8;-45;2;;;;;;;;;;;;
14;WeplayAA;#0LVMN;5;-15;;;;;;;;;;;;;
15;King of Kings;#MMH3D;11;-15;;;;;;;;;;;;;
