Rank,Player,ID,Hands,Profit,Rebuy,Prize,Addon,Tips,ClubID,GameCode,DateStarted,DateEnded,GameName,GameType,BuyinTicket,AddonTicket,TotalTips
1,Tommy,#FLLL9,92,188,,218,1,,5f5e72a2817f77659582edeb,95403505,2021-02-08 22:24,2021-02-09 01:02,$15 BOB tourney day 1,NL Hold'em,15,15,
2,Sammy Bono,#AG0R4,89,85,1,130,1,,,,,,,,,,
3,Dwayne Odell,#RR0CK,73,57,,87,1,,,,,,,,,,
4,ğŸ’¸ riDONKulousğŸ’¸,#Q4HRW,96,-30,,,1,,,,,,,,,,
5,Lady Luck,#0HUEG,68,-30,,,1,,,,,,,,,,
6,MIKE D,#RE231,79,-30,,,1,,,,,,,,,,
7,Ryan Hernandez,#DY69Q,81,-30,,,1,,,,,,,,,,
8,MUTABARUKA,#AHW7F,38,-30,,,1,,,,,,,,,,
9,ğŸ‡»ğŸ‡³NAMğŸ‡»ğŸ‡³,#AXDHP,76,-30,,,1,,,,,,,,,,
10,ğŸ’BabygirlğŸ’,#JM225,36,-30,,,1,,,,,,,,,,
11,ROLLTIDE,#VPVH9,15,-45,1,,1,,,,,,,,,,
12,truckers wife,#TZQVD,30,-30,1,,,,,,,,,,,,
13,SLN6PP,#R1Q9W,4,-15,,,,,,,,,,,,,
14,WeplayAA,#0LVMN,36,-15,,,,,,,,,,,,,
15,â™¦ï¸RiverLDLâ™ ï¸,#2WRBX,30,-15,,,,,,,,,,,,,