Rank,Player,ID,Hands,Profit,Rebuy,Prize,Addon,Tips,ClubID,GameCode,DateStarted,DateEnded,GameName,GameType,BuyinTicket,AddonTicket,TotalTips
1,TJH,#SLBM3,198,540,,560,,,5f5e72a2817f77659582edeb,05225163,2021-02-23 01:30,2021-02-23 05:44,20 NLH BOB TOURNEY DAY 1,NL Hold'em,20,20,
2,Mike Litt,#YVKC0,161,276,1,336,1,,,,,,,,,,
3,MIKE D,#RE231,162,184,,224,1,,,,,,,,,,
4,ROLLTIDE4EVER,#TZQVD,180,-40,,,1,,,,,,,,,,
5,Sideshow-bob,#S7MU1,154,-40,,,1,,,,,,,,,,
6,CheckupDH,#YYJR4,129,-40,,,1,,,,,,,,,,
7,Raw bass,#BLKEF,116,-40,,,1,,,,,,,,,,
8,Josh,#L5LCQ,87,-40,,,1,,,,,,,,,,
9,King of Kings,#MMH3D,141,-40,,,1,,,,,,,,,,
10,Wilson T,#R9QFL,69,-40,,,1,,,,,,,,,,
11,Tony Swift,#YG42P,97,-60,1,,1,,,,,,,,,,
12,MUTABARUKA,#AHW7F,106,-40,,,1,,,,,,,,,,
13,Bujak,#8SQNB,56,-80,2,,1,,,,,,,,,,
14,Ronnie Brown,#41FW1,63,-20,,,,,,,,,,,,,
15,Samual Dee,#DKC2C,58,-60,1,,1,,,,,,,,,,
16,ðŸ’¸ riDONKulousðŸ’¸,#Q4HRW,98,-40,,,1,,,,,,,,,,
17,bad call ALWAYS,#TT1B8,30,-80,2,,1,,,,,,,,,,
18,Shake~N~Bake!!,#A5EMR,56,-40,,,1,,,,,,,,,,
19,RÂ¿vÂ£rBâ™¤nG11,#YBAQ0,33,-40,,,1,,,,,,,,,,
20,Donkey11,#5SMQ6,89,-40,,,1,,,,,,,,,,
21,Golf81,#33N2F,71,-40,,,1,,,,,,,,,,
22,bamahater30,#USCSM,55,-40,,,1,,,,,,,,,,
23,Ryan Hernandez,#DY69Q,11,-40,,,1,,,,,,,,,,
24,Anthony Maze,#3Y3YR,34,-40,1,,,,,,,,,,,,
25,Ugruun,#RPN0A,6,-20,,,,,,,,,,,,,
26,ðŸ‡»ðŸ‡³NAMðŸ‡»ðŸ‡³,#AXDHP,30,-20,,,,,,,,,,,,,
27,max valhugh,#N7EG1,14,-20,,,,,,,,,,,,,